pokedex_number,name,german_name,japanese_name,generation,status,species,type_1,type_2,height_m,weight_kg,ability_1,ability_2,ability_hidden
1,Bulbasaur,Bisasam,フシギダネ (Fushigidane),1,Normal,Seed Pokémon,Grass,Poison,0.7,6.9,Overgrow,,Chlorophyll
2,Ivysaur,Bisaknosp,フシギソウ (Fushigisou),1,Normal,Seed Pokémon,Grass,Poison,1,13,Overgrow,,Chlorophyll
3,Venusaur,Bisaflor,フシギバナ (Fushigibana),1,Normal,Seed Pokémon,Grass,Poison,2,100,Overgrow,,Chlorophyll
3,Mega Venusaur,Bisaflor,フシギバナ (Fushigibana),1,Normal,Seed Pokémon,Grass,Poison,2.4,155.5,Thick Fat,,
4,Charmander,Glumanda,ヒトカゲ (Hitokage),1,Normal,Lizard Pokémon,Fire,,0.6,8.5,Blaze,,Solar Power
5,Charmeleon,Glutexo,リザード (Lizardo),1,Normal,Flame Pokémon,Fire,,1.1,19,Blaze,,Solar Power
6,Charizard,Glurak,リザードン (Lizardon),1,Normal,Flame Pokémon,Fire,Flying,1.7,90.5,Blaze,,Solar Power
6,Mega Charizard X,Glurak,リザードン (Lizardon),1,Normal,Flame Pokémon,Fire,Dragon,1.7,110.5,Tough Claws,,
6,Mega Charizard Y,Glurak,リザードン (Lizardon),1,Normal,Flame Pokémon,Fire,Flying,1.7,100.5,Drought,,
7,Squirtle,Schiggy,ゼニガメ (Zenigame),1,Normal,Tiny Turtle Pokémon,Water,,0.5,9,Torrent,,Rain Dish
8,Wartortle,Schillok,カメール (Kameil),1,Normal,Turtle Pokémon,Water,,1,22.5,Torrent,,Rain Dish
9,Blastoise,Turtok,カメックス (Kamex),1,Normal,Shellfish Pokémon,Water,,1.6,85.5,Torrent,,Rain Dish
9,Mega Blastoise,Turtok,カメックス (Kamex),1,Normal,Shellfish Pokémon,Water,,1.6,101.1,Mega Launcher,,
10,Caterpie,Raupy,キャタピー (Caterpie),1,Normal,Worm Pokémon,Bug,,0.3,2.9,Shield Dust,,Run Away
11,Metapod,Safcon,トランセル (Transel),1,Normal,Cocoon Pokémon,Bug,,0.7,9.9,Shed Skin,,
12,Butterfree,Smettbo,バタフリー (Butterfree),1,Normal,Butterfly Pokémon,Bug,Flying,1.1,32,Compound Eyes,,Tinted Lens
13,Weedle,Hornliu,ビードル (Beedle),1,Normal,Hairy Bug Pokémon,Bug,Poison,0.3,3.2,Shield Dust,,Run Away
14,Kakuna,Kokuna,コクーン (Cocoon),1,Normal,Cocoon Pokémon,Bug,Poison,0.6,10,Shed Skin,,
15,Beedrill,Bibor,スピアー (Spear),1,Normal,Poison Bee Pokémon,Bug,Poison,1,29.5,Swarm,,Sniper
15,Mega Beedrill,Bibor,スピアー (Spear),1,Normal,Poison Bee Pokémon,Bug,Poison,1.4,40.5,Adaptability,,
16,Pidgey,Taubsi,ポッポ (Poppo),1,Normal,Tiny Bird Pokémon,Normal,Flying,0.3,1.8,Keen Eye,Tangled Feet,Big Pecks
17,Pidgeotto,Tauboga,ピジョン (Pigeon),1,Normal,Bird Pokémon,Normal,Flying,1.1,30,Keen Eye,Tangled Feet,Big Pecks
18,Pidgeot,Tauboss,ピジョット (Pigeot),1,Normal,Bird Pokémon,Normal,Flying,1.5,39.5,Keen Eye,Tangled Feet,Big Pecks
18,Mega Pidgeot,Tauboss,ピジョット (Pigeot),1,Normal,Bird Pokémon,Normal,Flying,2.2,50.5,No Guard,,
19,Rattata,Rattfratz,コラッタ (Koratta),1,Normal,Mouse Pokémon,Normal,,0.3,3.5,Run Away,Guts,Hustle
19,Alolan Rattata,Rattfratz,コラッタ (Koratta),1,Normal,Mouse Pokémon,Dark,Normal,0.3,3.8,Gluttony,Hustle,Thick Fat
20,Raticate,Rattikarl,ラッタ (Ratta),1,Normal,Mouse Pokémon,Normal,,0.7,18.5,Run Away,Guts,Hustle
20,Alolan Raticate,Rattikarl,ラッタ (Ratta),1,Normal,Mouse Pokémon,Dark,Normal,0.7,25.5,Gluttony,Hustle,Thick Fat
21,Spearow,Habitak,オニスズメ (Onisuzume),1,Normal,Tiny Bird Pokémon,Normal,Flying,0.3,2,Keen Eye,,Sniper
22,Fearow,Ibitak,オニドリル (Onidrill),1,Normal,Beak Pokémon,Normal,Flying,1.2,38,Keen Eye,,Sniper
23,Ekans,Rettan,アーボ (Arbo),1,Normal,Snake Pokémon,Poison,,2,6.9,Intimidate,Shed Skin,Unnerve
24,Arbok,Arbok,アーボック (Arbok),1,Normal,Cobra Pokémon,Poison,,3.5,65,Intimidate,Shed Skin,Unnerve
25,Pikachu,Pikachu,ピカチュウ (Pikachu),1,Normal,Mouse Pokémon,Electric,,0.4,6,Static,,Lightning Rod
25,Partner Pikachu,Pikachu,ピカチュウ (Pikachu),1,Normal,Mouse Pokémon,Electric,,0.4,6,,,Lightning Rod
26,Raichu,Raichu,ライチュウ (Raichu),1,Normal,Mouse Pokémon,Electric,,0.8,30,Static,,Lightning Rod
26,Alolan Raichu,Raichu,ライチュウ (Raichu),1,Normal,Mouse Pokémon,Electric,Psychic,0.7,21,Surge Surfer,,
27,Sandshrew,Sandan,サンド (Sand),1,Normal,Mouse Pokémon,Ground,,0.6,12,Sand Veil,,Sand Rush
27,Alolan Sandshrew,Sandan,サンド (Sand),1,Normal,Mouse Pokémon,Ice,Steel,0.7,40,Snow Cloak,,Slush Rush
28,Sandslash,Sandamer,サンドパン (Sandpan),1,Normal,Mouse Pokémon,Ground,,1,29.5,Sand Veil,,Sand Rush
28,Alolan Sandslash,Sandamer,サンドパン (Sandpan),1,Normal,Mouse Pokémon,Ice,Steel,1.2,55,Snow Cloak,,Slush Rush
29,Nidoran♀,Nidoran♀,ニドラン♀ (Nidoran♀),1,Normal,Poison Pin Pokémon,Poison,,0.4,7,Poison Point,Rivalry,Hustle
30,Nidorina,Nidorina,ニドリーナ (Nidorina),1,Normal,Poison Pin Pokémon,Poison,,0.8,20,Poison Point,Rivalry,Hustle
31,Nidoqueen,Nidoqueen,ニドクイン (Nidoqueen),1,Normal,Drill Pokémon,Poison,Ground,1.3,60,Poison Point,Rivalry,Sheer Force
32,Nidoran♂,Nidoran♂,ニドラン♂ (Nidoran♂),1,Normal,Poison Pin Pokémon,Poison,,0.5,9,Poison Point,Rivalry,Hustle
33,Nidorino,Nidorino,ニドリーノ (Nidorino),1,Normal,Poison Pin Pokémon,Poison,,0.9,19.5,Poison Point,Rivalry,Hustle
34,Nidoking,Nidoking,ニドキング (Nidoking),1,Normal,Drill Pokémon,Poison,Ground,1.4,62,Poison Point,Rivalry,Sheer Force
35,Clefairy,Piepi,ピッピ (Pippi),1,Normal,Fairy Pokémon,Fairy,,0.6,7.5,Cute Charm,Magic Guard,Friend Guard
36,Clefable,Pixi,ピクシー (Pixy),1,Normal,Fairy Pokémon,Fairy,,1.3,40,Cute Charm,Magic Guard,Unaware
37,Vulpix,Vulpix,ロコン (Rokon),1,Normal,Fox Pokémon,Fire,,0.6,9.9,Flash Fire,,Drought
37,Alolan Vulpix,Vulpix,ロコン (Rokon),1,Normal,Fox Pokémon,Ice,,0.6,9.9,Snow Cloak,,Snow Warning
